pos,param,trainMSE,valMSE
"(24.5, 75.5)","((2, 1, 0), (2, 0, 0, 12))",13.231,27.63
"(24.5, 76.5)","((0, 0, 0), (2, 0, 0, 12))",14.58,29.151
"(24.5, 77.5)","((0, 0, 0), (2, 0, 0, 12))",12.234,22.198
"(24.5, 78.5)","((1, 0, 1), (3, 0, 0, 12))",12.561,18.631
"(24.5, 79.5)","((0, 0, 0), (3, 0, 1, 12))",10.368,18.885
"(24.5, 80.5)","((0, 0, 1), (4, 0, 0, 12))",10.91,15.995
"(24.5, 81.5)","((1, 1, 0), (3, 0, 0, 12))",19.899,16.837
"(24.5, 82.5)","((0, 0, 0), (2, 0, 0, 12))",10.985,13.259
"(24.5, 83.5)","((4, 1, 1), (1, 0, 2, 12))",3.884,7.205
"(24.5, 84.5)","((4, 0, 0), (5, 0, 1, 12))",8.448,10.649
"(24.5, 85.5)",,,
"(24.5, 86.5)","((0, 0, 0), (1, 0, 1, 12))",14.021,6.623
"(24.5, 87.5)","((0, 0, 0), (1, 0, 1, 12))",19.188,20.914
"(24.5, 88.5)","((2, 1, 1), (1, 0, 1, 12))",8.821,4.956
"(24.5, 92.5)","((1, 0, 0), (2, 0, 0, 12))",29.039,26.837
"(24.5, 93.5)","((3, 0, 0), (5, 0, 1, 12))",15.166,9.475
"(25.5, 70.5)","((2, 0, 0), (5, 0, 1, 12))",2.514,2.265
"(25.5, 71.5)","((0, 0, 1), (3, 0, 0, 12))",3.004,3.444
"(25.5, 72.5)","((1, 0, 0), (1, 0, 2, 12))",2.345,7.253
"(25.5, 73.5)","((2, 1, 1), (2, 0, 1, 12))",2.865,9.954
"(25.5, 74.5)","((0, 0, 1), (3, 0, 0, 12))",4.853,8.236
"(25.5, 75.5)","((1, 1, 0), (2, 0, 0, 12))",10.653,15.426
"(25.5, 76.5)","((0, 0, 0), (1, 0, 1, 12))",7.455,15.343
"(25.5, 77.5)","((2, 0, 2), (3, 0, 1, 12))",5.398,14.922
"(25.5, 78.5)","((1, 0, 0), (3, 0, 0, 12))",10.046,12.584
"(25.5, 79.5)","((1, 0, 0), (3, 0, 0, 12))",8.944,6.051
"(25.5, 80.5)","((0, 0, 0), (2, 0, 1, 12))",12.964,11.16
"(25.5, 81.5)","((1, 0, 0), (2, 0, 0, 12))",9.227,12.512
"(25.5, 82.5)","((1, 0, 0), (2, 0, 0, 12))",6.652,10.418
"(25.5, 83.5)","((2, 1, 1), (3, 0, 0, 12))",3.069,7.702
"(25.5, 84.5)","((1, 0, 0), (2, 0, 1, 12))",6.866,6.627
"(25.5, 85.5)","((1, 1, 0), (3, 0, 2, 12))",7.676,32.655
"(25.5, 86.5)","((2, 1, 1), (1, 0, 1, 12))",8.857,10.961
"(25.5, 87.5)","((4, 1, 1), (2, 0, 1, 12))",15.913,9.753
"(25.5, 88.5)","((1, 1, 0), (1, 0, 1, 12))",15.207,9.002
"(25.5, 90.5)","((2, 0, 0), (1, 0, 2, 12))",78.505,137.729
"(25.5, 91.5)","((2, 0, 0), (1, 0, 1, 12))",17.982,29.157
"(25.5, 92.5)","((0, 0, 0), (1, 0, 2, 12))",5.404,5.617
"(25.5, 93.5)","((2, 0, 0), (2, 0, 1, 12))",6.245,5.611
"(25.5, 94.5)","((2, 0, 0), (3, 0, 1, 12))",6.768,7.561
"(26.5, 70.5)","((0, 0, 0), (1, 0, 1, 12))",0.963,0.314
"(26.5, 71.5)","((0, 0, 0), (1, 0, 1, 12))",1.911,0.931
"(26.5, 72.5)","((1, 0, 0), (2, 0, 1, 12))",1.185,1.422
"(26.5, 73.5)","((0, 0, 0), (2, 0, 1, 12))",1.928,2.152
"(26.5, 74.5)","((0, 0, 0), (2, 0, 2, 12))",3.307,3.801
"(26.5, 75.5)","((0, 0, 0), (3, 0, 1, 12))",3.661,4.122
"(26.5, 76.5)","((0, 0, 0), (1, 0, 1, 12))",4.583,5.996
"(26.5, 77.5)","((0, 0, 0), (4, 0, 1, 12))",6.187,5.647
"(26.5, 78.5)","((1, 0, 0), (2, 0, 1, 12))",5.132,7.813
"(26.5, 79.5)","((1, 0, 0), (2, 0, 0, 12))",4.011,1.413
"(26.5, 80.5)","((1, 0, 0), (2, 0, 2, 12))",4.51,5.381
"(26.5, 81.5)","((2, 0, 1), (3, 0, 1, 12))",4.674,5.687
"(26.5, 82.5)","((1, 0, 2), (5, 0, 1, 12))",7.208,11.644
"(26.5, 83.5)","((1, 0, 0), (3, 0, 0, 12))",5.363,2.197
"(26.5, 84.5)","((1, 0, 0), (3, 0, 2, 12))",16.722,24.336
"(26.5, 85.5)","((1, 0, 0), (4, 0, 1, 12))",8.427,12.795
"(26.5, 86.5)","((0, 0, 0), (1, 0, 1, 12))",17.481,17.546
"(26.5, 87.5)","((2, 0, 0), (5, 0, 1, 12))",15.011,30.998
"(26.5, 88.5)","((0, 0, 0), (2, 0, 1, 12))",38.752,51.235
"(26.5, 89.5)","((1, 0, 0), (2, 0, 0, 12))",62.331,90.156
"(26.5, 90.5)","((2, 0, 0), (2, 0, 0, 12))",33.231,73.592
"(26.5, 91.5)","((3, 0, 0), (2, 0, 1, 12))",10.576,12.252
"(26.5, 92.5)","((3, 1, 2), (3, 0, 2, 12))",6.407,8.465
"(26.5, 93.5)","((4, 1, 1), (2, 0, 1, 12))",5.32,7.209
"(26.5, 94.5)","((3, 0, 1), (1, 0, 1, 12))",6.495,9.05
"(27.5, 69.5)","((2, 0, 0), (4, 0, 2, 12))",0.715,0.62
"(27.5, 70.5)","((0, 0, 0), (4, 0, 1, 12))",1.144,0.512
"(27.5, 71.5)","((0, 0, 1), (1, 0, 3, 12))",0.854,1.033
"(27.5, 72.5)","((0, 0, 1), (3, 0, 0, 12))",0.916,1.298
"(27.5, 73.5)","((0, 0, 0), (4, 0, 2, 12))",1.212,1.533
"(27.5, 74.5)","((0, 0, 0), (1, 0, 1, 12))",2.169,2.483
"(27.5, 75.5)","((3, 1, 2), (2, 0, 1, 12))",2.573,5.275
"(27.5, 76.5)","((0, 0, 0), (1, 0, 1, 12))",4.299,3.106
"(27.5, 77.5)","((0, 0, 0), (2, 0, 0, 12))",8.075,2.722
"(27.5, 78.5)","((0, 0, 0), (3, 0, 0, 12))",6.197,4.545
"(27.5, 79.5)","((5, 1, 0), (3, 0, 0, 12))",9.708,3.927
"(27.5, 80.5)","((2, 0, 0), (1, 0, 1, 12))",6.056,7.582
"(27.5, 81.5)","((1, 0, 0), (2, 0, 1, 12))",6.694,18.771
"(27.5, 82.5)","((0, 1, 1), (2, 0, 0, 12))",11.536,10.715
"(27.5, 83.5)","((3, 0, 0), (2, 0, 2, 12))",16.724,16.748
"(27.5, 84.5)","((3, 1, 1), (1, 0, 1, 12))",15.728,28.381
"(27.5, 88.5)","((2, 1, 1), (3, 0, 0, 12))",9.596,35.49
"(27.5, 92.5)","((2, 1, 0), (3, 0, 1, 12))",25.77,12.947
"(27.5, 93.5)","((2, 1, 0), (1, 0, 1, 12))",22.042,39.891
"(27.5, 94.5)","((1, 0, 0), (3, 0, 1, 12))",11.407,16.013
"(27.5, 95.5)","((1, 0, 0), (2, 0, 0, 12))",8.951,21.264
"(27.5, 96.5)","((1, 0, 0), (1, 0, 1, 12))",13.332,41.285
"(28.5, 72.5)","((0, 0, 1), (2, 0, 1, 12))",1.181,0.618
"(28.5, 73.5)","((0, 0, 1), (1, 0, 1, 12))",2.724,1.061
"(28.5, 74.5)","((1, 0, 0), (1, 0, 3, 12))",1.797,1.89
"(28.5, 75.5)","((0, 0, 1), (4, 0, 0, 12))",1.763,1.191
"(28.5, 76.5)","((0, 0, 0), (4, 0, 1, 12))",3.063,1.543
"(28.5, 77.5)","((1, 0, 0), (3, 0, 0, 12))",4.479,3.206
"(28.5, 78.5)","((1, 0, 0), (3, 0, 0, 12))",9.698,7.206
"(28.5, 79.5)","((3, 1, 1), (2, 0, 1, 12))",3.828,8.773
"(28.5, 80.5)","((5, 1, 0), (5, 0, 2, 12))",12.383,21.169
"(28.5, 93.5)","((1, 1, 1), (1, 0, 1, 12))",27.657,43.646
"(28.5, 94.5)","((1, 0, 0), (3, 0, 1, 12))",17.23,30.305
"(28.5, 95.5)","((0, 1, 1), (4, 0, 1, 12))",18.308,95.349
"(29.5, 73.5)","((1, 1, 2), (3, 0, 0, 12))",0.871,0.843
"(29.5, 74.5)","((1, 0, 0), (1, 0, 0, 12))",1.406,1.182
"(29.5, 75.5)","((1, 1, 1), (4, 0, 0, 12))",1.753,1.904
"(29.5, 76.5)","((0, 0, 0), (1, 0, 2, 12))",2.945,2.92
"(29.5, 77.5)","((0, 0, 0), (5, 0, 1, 12))",8.896,9.241
"(29.5, 78.5)","((0, 0, 0), (2, 0, 0, 12))",11.501,9.367
"(29.5, 79.5)","((0, 0, 0), (2, 0, 0, 12))",13.139,14.298
"(30.5, 74.5)","((0, 0, 0), (1, 0, 1, 12))",2.126,2.071
"(30.5, 75.5)","((5, 1, 0), (3, 0, 0, 12))",3.379,5.349
"(30.5, 76.5)","((1, 1, 0), (4, 0, 0, 12))",12.924,9.463
"(30.5, 77.5)","((1, 0, 0), (2, 0, 1, 12))",20.406,28.159
"(30.5, 78.5)","((2, 1, 0), (3, 0, 0, 12))",15.037,7.931
